"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Atp6v1b2",0.189840734806525,9.89951436486523,2.18643594290392,0.0510792781295578,0.19625582041744,-4.28223862166611,"Non-Significant"
"Pcnx",-0.317975900200027,9.13214229173622,-2.182907863512,0.0513954899922096,0.19690575421908,-4.2870661764056,"Non-Significant"
"Nsg2",0.299860465675986,10.4247766740762,2.17844842890148,0.05179784304706,0.197318099118103,-4.28778891069993,"Non-Significant"
"Sgtb",0.203881536298519,7.96835935553977,2.14719814417902,0.0547025759007423,0.203463192030817,-4.29193159757087,"Non-Significant"
"Mapre2",0.234356149633245,7.63351747870159,2.13307198537704,0.0560657435681687,0.207381300104359,-4.29259214299128,"Non-Significant"
"Uri1",-0.207761345237672,7.32999875332081,-2.12665035930564,0.0566960101650359,0.208348845627147,-4.29304733054091,"Non-Significant"
"Cdk5r1",0.155598296265577,9.78110224272109,2.17980867143425,0.0516747983814059,0.197129786417956,-4.2936028408591,"Non-Significant"
"Enpp2",0.593909439117086,8.48365838310878,2.16051830284568,0.0534460296442489,0.201023128352947,-4.29600482977458,"Non-Significant"
"Pnma2",0.163565600206134,7.66297462254126,2.13525204800129,0.055853288536557,0.20716773781288,-4.296566901632,"Non-Significant"
"Atp2b4",0.261952501732388,9.69510904821623,2.17715294154945,0.0519152892211702,0.19738546159465,-4.29671142384288,"Non-Significant"
"Zfp706",-0.162633415857409,8.53949522827274,-2.168977156649,0.0526623521894672,0.199546577598632,-4.29744455564677,"Non-Significant"
"Rbm15b",-0.188901391439876,8.50522341645082,-2.16398566214303,0.0531234626006152,0.200372722316123,-4.29745491887733,"Non-Significant"
"Cacnb1",0.184541881395813,7.65369365452871,2.12701278155254,0.0566602614736874,0.208348845627147,-4.29854650350007,"Non-Significant"
"X9030624J02Rik",0.178483348939849,7.02031781787063,2.0844267152701,0.0610099699122521,0.216690582791792,-4.30690092419831,"Non-Significant"
"S1pr1",0.205630029565227,7.78221808292869,2.12964847066869,0.0564009227879862,0.208333339622382,-4.30729699406558,"Non-Significant"
"Papola",-0.194308477848437,7.37321725870693,-2.11254326520891,0.0581042055237504,0.210274408638653,-4.31020693757735,"Non-Significant"
"Dennd5b",-0.23343349754612,8.38528504223303,-2.15048007741952,0.0543904002894108,0.202865587708972,-4.31154144668291,"Non-Significant"
"X1110008F13Rik",-0.287519709177635,7.37610049177169,-2.11554618286955,0.0578017063210916,0.21021991943537,-4.31575586397371,"Non-Significant"
"Ndrg3",0.19485368877238,9.64076118945259,2.16417869971359,0.0531055588482045,0.200372722316123,-4.31802030806664,"Non-Significant"
"Polr2m",0.192354892207022,7.84148955998882,2.12565681145895,0.0567941214741662,0.208348845627147,-4.320846569683,"Non-Significant"
"Ntn3",-0.193667611767905,8.18715549940766,-2.1344432661117,0.0559320181455174,0.207172814099164,-4.32756933522696,"Non-Significant"
"Sept3",0.165660922471773,9.69894719177687,2.15697672434271,0.0537774210531532,0.201702988207765,-4.32994172137379,"Non-Significant"
"Rpl7a",-0.304833549587203,8.86519671876233,-2.15284971820238,0.0541660529499738,0.202593142178813,-4.33218398870415,"Non-Significant"
"Synm",-0.230085549151418,6.93204879352337,-2.07179507025868,0.0623595286167072,0.220606099914851,-4.3323803992335,"Non-Significant"
"Actr1b",0.212246642729836,9.305413900122,2.15187717963111,0.0542580222526261,0.202654091481915,-4.33612170594945,"Non-Significant"
