"","SAL_WT1","SAL_WT2","SAL_WT3","SAL_KO1","SAL_KO2","SAL_KO3","RO_WT1","RO_WT2","RO_WT3","RO_KO2","RO_RAP_WT1","RO_RAP_WT2","RO_RAP_WT3","RO_RAP_KO1","RO_RAP_KO2","RO_RAP_KO3"
"Sh3bgrl3",202.017135757094,244.814866023921,238.203075158957,114.73780983084,97.8964365186862,119.446092799823,172.177890976135,209.06807709839,221.012625903571,253.934831733013,186.280682609688,180.242658624941,236.93026447429,94.2523438387919,113.701665437573,84.3091460602238
"Cep85",543.178727265249,436.87501344336,463.105470994317,367.41882923359,409.658934355118,336.439828052834,512.174738979644,455.50581048973,514.808526201089,594.833646936237,505.531457740108,498.836715766275,464.854407784352,235.164263835402,238.356243600784,237.840538359368
"Catsper4",35.0437888558225,14.8372646075103,18.1372899867226,14.825672056794,34.6402775373813,28.8661390932905,21.7946697438146,32.3197027398478,23.0776235883247,24.3499153716588,18.9957275029616,15.4336221452549,12.4700139196995,15.864255893658,19.8195563606778,10.2058439967639
"Zfp593",182.433841984723,155.791278378859,150.539506889797,98.6229488995425,131.030615032703,92.5707219198626,220.126164412528,166.64846725234,166.868970561732,191.320763634462,131.131796310767,167.013839643294,157.953509649526,68.5895769519921,81.8860618059585,70.1097109342913
"Grrp1",78.3331750894856,100.563682339792,87.6635682691592,42.5432328586262,46.6890697242965,34.8384437332816,80.6402780521141,99.9890803514041,97.6360997967583,52.178390082126,87.6254526749521,90.9481304988235,69.2778551094414,20.5302135094398,20.8626909059767,19.5242232981571
"Pdik1l",411.249169219799,493.751194438816,532.027172943863,538.236355105346,361.463765607457,375.259808212776,562.302479390417,652.453999060677,629.30904323547,980.953733543969,559.454813232386,547.893586156549,511.963349258772,300.021074694768,286.34043268453,303.06919346912
"Extl1",2376.79344416255,2458.86446245574,2270.18413000478,2023.38193853375,1075.35470268218,1630.43916671758,2159.85177161203,2411.85781696114,2055.68370117538,1558.39458378616,2410.61909666616,2325.51613681537,2319.4225890641,1183.28685136226,1241.85167617826,1287.26754063531
"Pafah2",116.469062961998,138.481136336763,119.706113912369,83.1526824054966,106.933030658873,93.5661060265278,82.8197450264955,95.9491175089231,103.849306147461,52.178390082126,115.199895824413,107.484154225882,139.248488769977,79.7878752298684,63.6312072632289,64.7849227620667
"Stmn1",4972.09521883787,4653.95533188908,6345.02861368845,4536.0110549417,3504.69242736897,3426.11209514158,5400.71916251726,5822.5964467257,5030.03434134754,5871.80816390858,3912.50710020678,4973.48473630839,5362.10598547077,2890.56074297681,2207.79426512498,2893.57863925642
"Paqr7",1978.94337068174,1640.34203160809,1710.34644574794,1554.76178265161,1302.77565521021,1225.31783530485,1800.23972083909,1523.06599161533,1516.02234957148,1398.38085420098,1743.93033785254,2043.85253266447,2031.91949035992,1126.8287642113,941.428927132198,1059.18911392502
